kind,group,order,candidate,private_score,public_score,public_f1,public_ap,public_delta_vs_v1824a,public_ap_delta_vs_v1824a,public_role_change_rate,public_score_mae,private_role_change_rate,private_score_mae,private_score_max_abs,private_score_change_gt_0p05_rate,private_high_wolf_rate,nearest_known_private_weighted,risk_adjusted_index,nearest_known,output_path
future,known_best,2,v1823a,,0.537561462443834,0.5080639546165349,0.5572264676620334,0.0,0.0,0.0,0.0,0.005037783375314861,0.003289672544080605,0.95,0.005037783375314861,0.20151133501259447,0.4649200083616935,-0.013365239294710327,v1823a@0.46492/d=0.00; v1823b@0.46492/d=0.74; v1824a@0.47119/d=0.75,experiments/final_submission_package/known_best/02_v1823a_score_0p46492_private.csv
future,known_best,3,v1823b,,0.537561462443834,0.5080639546165349,0.5572264676620334,0.0,0.0,0.0,0.0,0.010075566750629723,0.005682619647355164,0.95,0.007556675062972292,0.19899244332493704,0.46491999049193733,-0.024574307304785895,v1823b@0.46492/d=0.00; v1823a@0.46492/d=0.74; v1819b@0.45499/d=1.04,experiments/final_submission_package/known_best/03_v1823b_score_0p46492_private.csv
future,known_best,4,v1821a,,0.5369505932636071,0.5080639546165349,0.5562083523616551,-0.0006108691802269028,-0.0010181153003783194,0.0,0.0023224637681159414,0.005037783375314861,0.014147732997481108,0.95,0.030226700251889168,0.20654911838790932,0.46454998025838196,-0.09790467620908827,v1821a@0.46455/d=0.00; v1810g@0.45462/d=0.96; v1819b@0.45499/d=1.02,experiments/final_submission_package/known_best/04_v1821a_score_0p46455_private.csv
future,known_best,5,v1819b,,0.537561462443834,0.5080639546165349,0.5572264676620334,0.0,0.0,0.0,0.0,0.012594458438287154,0.006377833753148615,0.95,0.010075566750629723,0.2040302267002519,0.454990019741618,-0.03030730478589421,v1819b@0.45499/d=0.00; v1823a@0.46492/d=0.96; v1821a@0.46455/d=1.02,experiments/final_submission_package/known_best/05_v1819b_score_0p45499_private.csv
future,known_best_overlay,1,v1845a,,0.5411391063876076,0.5080639546165349,0.5631892075683229,0.0035776439437736895,0.005962739906289483,0.0,0.006735507246376812,0.0,0.005705289672544081,0.5,0.022670025188916875,0.19899244332493704,0.4680797720348197,0.3407240921103664,v1824a@0.47119/d=0.48; v1823a@0.46492/d=0.85; v1823b@0.46492/d=1.16,experiments/final_submission_package/known_best_overlay/01_v1845a_v1824a_strict_ap_overlay_private.csv
future,known_best_overlay,2,v1845b,,0.5411601855584937,0.5080639546165349,0.5632243395197994,0.0035987231146596965,0.005997871857766013,0.0,0.006948007246376813,0.0,0.00670528967254408,0.5,0.02518891687657431,0.19899244332493704,0.4679967531488245,0.3405725633551384,v1824a@0.47119/d=0.52; v1823a@0.46492/d=0.87; v1823b@0.46492/d=1.16,experiments/final_submission_package/known_best_overlay/02_v1845b_v1824a_medium_ap_overlay_private.csv
future,known_best_overlay,3,v1845c,,0.5448267916328919,0.5080639546165349,0.5693353496437966,0.0072653291890579785,0.012108881981763187,0.0,0.009621920289855075,0.0,0.013806171284634763,0.99405,0.0327455919395466,0.20906801007556675,0.461699938521195,0.6963539516513898,v1821a@0.46455/d=0.96; v1810g@0.45462/d=1.49; v1823a@0.46492/d=1.79,experiments/final_submission_package/known_best_overlay/03_v1845c_v1824a_blackboost_score_overlay_private.csv
future,rolecap_queue,1,v1846a,,0.5741717768357544,0.5080639546165349,0.6182436583152341,0.03661031439192042,0.06101719065320066,0.0,0.011034963768115942,0.010075566750629723,0.025569395465994925,0.99405,0.04785894206549118,0.21158690176322417,0.45740234243523864,3.5964192225673566,v1810g@0.45462/d=2.53; v1812b@0.45349/d=2.58; v1821a@0.46455/d=2.73,experiments/final_submission_package/rolecap_queue/01_v1846a_queue01_v1842a_rolecap099_private.csv
future,rolecap_queue,2,v1846b,,0.5741717768357544,0.5080639546165349,0.6182436583152341,0.03661031439192042,0.06101719065320066,0.0,0.011034963768115942,0.015113350125944584,0.022798614609571756,0.99405,0.042821158690176324,0.20906801007556675,0.45170483671394807,3.594152220048465,v1810g@0.45462/d=2.47; v1812b@0.45349/d=2.51; v1806b@0.44665/d=2.67,experiments/final_submission_package/rolecap_queue/02_v1846b_queue02_v1842b_rolecap099_private.csv
future,rolecap_queue,3,v1846c,,0.5741717768357544,0.5080639546165349,0.6182436583152341,0.03661031439192042,0.06101719065320066,0.0,0.011034963768115942,0.015113350125944584,0.025544206549118355,0.99405,0.04785894206549118,0.21158690176322417,0.45356684872930086,3.588887736421261,v1812b@0.45349/d=2.47; v1810g@0.45462/d=2.53; v1814a@0.45252/d=2.72,experiments/final_submission_package/rolecap_queue/03_v1846c_queue03_v1842c_rolecap099_private.csv
future,rolecap_queue,4,v1846d,,0.5741717768357544,0.5080639546165349,0.6182436583152341,0.03661031439192042,0.06101719065320066,0.0,0.011034963768115942,0.020151133501259445,0.030864105793450846,0.99405,0.05289672544080604,0.20906801007556675,0.45088374190589126,3.573492270426299,v1814a@0.45252/d=2.51; v1806b@0.44665/d=2.53; v1812b@0.45349/d=2.55,experiments/final_submission_package/rolecap_queue/04_v1846d_queue04_v1842d_rolecap099_private.csv
future,rolecap_queue,5,v1846e,,0.5741717768357544,0.5080639546165349,0.6182436583152341,0.03661031439192042,0.06101719065320066,0.0,0.011034963768115942,0.02518891687657431,0.032748236775818604,0.99405,0.055415617128463476,0.20906801007556675,0.4481055857762381,3.5627920185371296,v1814a@0.45252/d=2.46; v1806b@0.44665/d=2.48; v1801@0.44504/d=2.54,experiments/final_submission_package/rolecap_queue/05_v1846e_queue05_v1842e_rolecap099_private.csv
future,rolecap_fallback,1,v1846f,,0.5616114745529813,0.5080639546165349,0.5973098211772789,0.024050012109147367,0.0400833535152455,0.0,0.001413043478260871,0.0,0.00168765743073048,0.010000000000000009,0.0,0.19899244332493704,0.4672230531947677,2.4033135534840064,v1824a@0.47119/d=1.56; v1823a@0.46492/d=1.72; v1823b@0.46492/d=1.90,experiments/final_submission_package/rolecap_fallback/01_v1846f_v1824a_rolecap099_private.csv
future,rolecap_fallback,2,v1846g,,0.5741717768357544,0.5080639546165349,0.6182436583152341,0.03661031439192042,0.06101719065320066,0.0,0.011034963768115942,0.0,0.015468639798488636,0.99405,0.0327455919395466,0.20906801007556675,0.4613976125858744,3.62919000342378,v1821a@0.46455/d=2.55; v1810g@0.45462/d=2.79; v1823a@0.46492/d=2.95,experiments/final_submission_package/rolecap_fallback/02_v1846g_v1845c_rolecap099_private.csv
future,denoise_queue,1,v1848a,,0.5845146748726254,0.5080639546165349,0.6354818217100191,0.04695321242879147,0.07825535404798567,0.0,0.029755978260869557,0.010075566750629723,0.051473677581864,0.99405,0.1712846347607053,0.21158690176322417,0.45744985093412743,4.543091897790986,v1810g@0.45462/d=3.77; v1812b@0.45349/d=3.77; v1821a@0.46455/d=3.94,experiments/final_submission_package/denoise_queue/01_v1848a_queue01_v1846a_denoise_private.csv
future,denoise_queue,2,v1848b,,0.5845146748726254,0.5080639546165349,0.6354818217100191,0.04695321242879147,0.07825535404798567,0.0,0.029755978260869557,0.015113350125944584,0.04870289672544078,0.99405,0.16624685138539042,0.20906801007556675,0.4480525820507421,4.540824895272094,v1400@0.43655/d=3.53; v1810g@0.45462/d=3.69; v1812b@0.45349/d=3.69,experiments/final_submission_package/denoise_queue/02_v1848b_queue02_v1846b_denoise_private.csv
future,denoise_queue,3,v1848c,,0.5845146748726254,0.5080639546165349,0.6354818217100191,0.04695321242879147,0.07825535404798567,0.0,0.029755978260869557,0.015113350125944584,0.05144848866498742,0.99405,0.1712846347607053,0.21158690176322417,0.45354632930660255,4.535560411644891,v1812b@0.45349/d=3.70; v1810g@0.45462/d=3.77; v1814a@0.45252/d=3.80,experiments/final_submission_package/denoise_queue/03_v1848c_queue03_v1846c_denoise_private.csv
future,denoise_queue,4,v1848d,,0.5845146748726254,0.5080639546165349,0.6354818217100191,0.04695321242879147,0.07825535404798567,0.0,0.029755978260869557,0.020151133501259445,0.056309949622166316,0.99405,0.17380352644836272,0.20906801007556675,0.44481113808503825,4.5218828297809095,v1400@0.43655/d=3.22; v1814a@0.45252/d=3.71; v1806b@0.44665/d=3.76,experiments/final_submission_package/denoise_queue/04_v1848d_queue04_v1846d_denoise_private.csv
future,denoise_queue,5,v1848e,,0.5845146748726254,0.5080639546165349,0.6354818217100191,0.04695321242879147,0.07825535404798567,0.0,0.029755978260869557,0.02518891687657431,0.05865251889168767,0.99405,0.17884130982367757,0.20906801007556675,0.44457784679243334,4.509464693760759,v1400@0.43655/d=2.98; v1814a@0.45252/d=3.71; v1806b@0.44665/d=3.76,experiments/final_submission_package/denoise_queue/05_v1848e_queue05_v1846e_denoise_private.csv
future,denoise_fallback,1,v1848f,,0.575593580928518,0.5080639546165349,0.6206133318031735,0.03803211848468402,0.06338686414114003,0.0,0.022499999999999992,0.0,0.03133501259445841,0.29,0.14105793450881612,0.19899244332493704,0.46703774676473986,3.7013478686195356,v1824a@0.47119/d=3.11; v1823a@0.46492/d=3.14; v1823b@0.46492/d=3.20,experiments/final_submission_package/denoise_fallback/01_v1848f_v1824a_rolecap_denoise_private.csv
future,denoise_fallback,2,v1848g,,0.5845146748726254,0.5080639546165349,0.6354818217100191,0.04695321242879147,0.07825535404798567,0.0,0.029755978260869557,0.0,0.04273312342569267,0.99405,0.16120906801007556,0.20906801007556675,0.4577105335512046,4.571983585448416,v1821a@0.46455/d=3.72; v1810g@0.45462/d=3.85; v1812b@0.45349/d=4.07,experiments/final_submission_package/denoise_fallback/02_v1848g_v1845c_rolecap_denoise_private.csv
future,lowtail_queue,1,v1850a,,0.5852922620653069,0.5080639546165349,0.6367778003644883,0.047730799621472975,0.07955133270245485,0.0,0.04333641304347823,0.010075566750629723,0.06745025188916882,0.999,0.2518891687657431,0.21158690176322417,0.4480008486481835,4.564571775749313,v1400@0.43655/d=4.24; v1812b@0.45349/d=4.48; v1810g@0.45462/d=4.48,experiments/final_submission_package/lowtail_queue/01_v1850a_queue01_v1848a_lowtail_private.csv
