label,exit_code,expected_exit,expected_text,text_found,pass
valid_continue_score_routes_next_csv,0,zero,contingency/01_v1825c_diagnostic_neutral_private.csv,yes,yes
valid_top3_score_routes_stop,0,zero,STOP: score exceeds top-3 threshold.,yes,yes
valid_equal_threshold_continues_routing,0,zero,experiments/final_submission_package/queue/02_v1826b_if_01_positive_private.csv,yes,yes
invalid_percentage_like_score_rejected,1,nonzero,Invalid --score,yes,yes
missing_placeholder_rejected,1,nonzero,missing placeholder,yes,yes
