label,exit_code,expected_exit,expected_text,text_found,pass
stale_file_rejected,1,nonzero,FAILURES=1,yes,yes
live_file_accepted,0,zero,ACTIVE_HANDOFF_THRESHOLD_READY=yes,yes,yes
real_active_paths_accepted,0,zero,ACTIVE_HANDOFF_THRESHOLD_READY=yes,yes,yes
