label,exit_code,next_path_status,recommended_next,write_status,confirm_command,pass
scoreonly_order1_tiny_positive,0,concrete_ok:scoreonly_safe_queue#2:v1853g,experiments/final_submission_package/scoreonly_safe_queue/02_v1853g_scoreonly_max_proxy_private.csv,dry_run_only,python3 experiments/scripts/v1872_post_score_command_center.py --group scoreonly_safe_queue --order 1 --score 0.47120 --confirm-real-score,yes
scoreonly_order1_exact_best,0,concrete_ok:scoreonly_safe_queue#3:v1850g,experiments/final_submission_package/scoreonly_safe_queue/03_v1850g_scoreonly_lowtail_private.csv,dry_run_only,python3 experiments/scripts/v1872_post_score_command_center.py --group scoreonly_safe_queue --order 1 --score 0.47119 --confirm-real-score,yes
scoreonly_order1_top3_stop,0,non_concrete_ok,STOP: score exceeds top-3 threshold.,dry_run_only,python3 experiments/scripts/v1872_post_score_command_center.py --group scoreonly_safe_queue --order 1 --score 0.52381 --confirm-real-score,yes
scoreonly_order1_severe_regression,0,concrete_ok:scoreonly_safe_queue#5:v1846g,experiments/final_submission_package/scoreonly_safe_queue/05_v1846g_scoreonly_rolecap_private.csv,dry_run_only,python3 experiments/scripts/v1872_post_score_command_center.py --group scoreonly_safe_queue --order 1 --score 0.46400 --confirm-real-score,yes
scoreonly_order5_fallback_to_structural_queue,0,concrete_ok:queue#1:v1826a,experiments/final_submission_package/queue/01_v1826a_primary_first_private.csv,dry_run_only,python3 experiments/scripts/v1872_post_score_command_center.py --group scoreonly_safe_queue --order 5 --score 0.46400 --confirm-real-score,yes
portfolio_order2_positive_preserves_previous,0,concrete_ok:charprior_queue#2:v1853b,experiments/final_submission_package/charprior_queue/02_v1853b_queue02_v1850b_charprior_private.csv,dry_run_only,python3 experiments/scripts/v1872_post_score_command_center.py --group portfolio_queue --order 2 --score 0.48001 --previous-score 0.48000 --confirm-real-score,yes
portfolio_order2_skip_stage_preserved,0,concrete_ok:charprior_queue#2:v1853b,experiments/final_submission_package/charprior_queue/02_v1853b_queue02_v1850b_charprior_private.csv,dry_run_only,python3 experiments/scripts/v1872_post_score_command_center.py --group portfolio_queue --order 2 --score 0.48001 --previous-score 0.48000 --confirm-real-score --skip-stage,yes
charprior_order2_positive,0,concrete_ok:charprior_queue#3:v1853c,experiments/final_submission_package/charprior_queue/03_v1853c_queue03_v1850c_charprior_private.csv,dry_run_only,python3 experiments/scripts/v1872_post_score_command_center.py --group charprior_queue --order 2 --score 0.48101 --previous-score 0.48001 --confirm-real-score,yes
