label,exit_code,expected_exit,expected_text,text_found,pass
no_records_first_upload_passes,0,zero,STATE=no_records_first_upload,yes,yes
latest_recommended_match_passes,0,zero,STATE=staged_latest_recommended,yes,yes
latest_recommended_mismatch_rejected,1,nonzero,current_source_matches_expected,yes,yes
stop_record_rejected,1,nonzero,no_prior_top3_hit,yes,yes
five_records_manual_override_with_open_budget_passes,0,zero,STATE=manual_override_from_records,yes,yes
five_real_records_manual_override_after_non_concrete_passes,0,zero,manual_override_from_non_concrete_latest,yes,yes
fifteen_records_budget_exhausted_rejected,1,nonzero,attempt_budget_not_exhausted,yes,yes
